phish_id,url,phish_detail_url,submission_time,verified,verification_time,online,target
8110028,https://docs.google.com/presentation/d/e/2PACX-1vRAF24sXFL3vemIQ2XMjolItPIm-Sdstci86lQcVOmxdWeV4TfXZSKRguQMveLkX1wuBxNhXe1Le6gn/pub?start=false&loop=false&delayms=3000&slide=id.p,http://www.phishtank.com/phish_detail.php?phish_id=8110028,2023-04-08T09:46:13+00:00,yes,2023-04-08T09:53:15+00:00,yes,Other
8094828,https://cajaitrujilllo.com/index.php,http://www.phishtank.com/phish_detail.php?phish_id=8094828,2023-03-28T18:41:15+00:00,yes,2023-03-28T19:09:10+00:00,yes,Other
8074198,http://yxbho6gf0p.yennefer6664.pl,http://www.phishtank.com/phish_detail.php?phish_id=8074198,2023-03-14T09:43:02+00:00,yes,2023-03-17T08:45:23+00:00,yes,Allegro
8068992,https://bafybeieykrmvpnwd7ifrl4qjnxeaxfbic4vrv767gz74oj5wpucvdngdkm.ipfs.dweb.link/pxpsoauth.html?info@theworknumber.com,http://www.phishtank.com/phish_detail.php?phish_id=8068992,2023-03-10T17:23:43+00:00,yes,2023-03-11T04:35:34+00:00,yes,Other
8033955,https://caloundrawoodworkingclub.com.au/wp-admin/includes/linkedin/lin/index.html,http://www.phishtank.com/phish_detail.php?phish_id=8033955,2023-02-11T22:17:45+00:00,yes,2023-02-11T22:22:02+00:00,yes,Other
8014220,http://cooperadosicredi.com,http://www.phishtank.com/phish_detail.php?phish_id=8014220,2023-01-23T18:05:25+00:00,yes,2023-02-16T10:04:17+00:00,yes,Other
8078818,https://residencebidreams.it/rcb.nein/nnbs.php,http://www.phishtank.com/phish_detail.php?phish_id=8078818,2023-03-17T11:08:48+00:00,yes,2023-03-17T11:15:48+00:00,yes,Other
8095355,https://anmelden5telkom.de/auth,http://www.phishtank.com/phish_detail.php?phish_id=8095355,2023-03-29T02:41:24+00:00,yes,2023-03-29T02:54:28+00:00,yes,Other
8072899,http://pancakeswap.trading,http://www.phishtank.com/phish_detail.php?phish_id=8072899,2023-03-13T13:54:09+00:00,yes,2023-03-13T14:06:38+00:00,yes,Other
8045456,https://connection-orangebank-certicode.derlma.com/3724958/,http://www.phishtank.com/phish_detail.php?phish_id=8045456,2023-02-22T15:54:12+00:00,yes,2023-02-22T16:04:41+00:00,yes,Other
8095426,https://www.goto-kotayamatoo.co.admin.zgxxzy.com.cn/third.php,http://www.phishtank.com/phish_detail.php?phish_id=8095426,2023-03-29T02:46:51+00:00,yes,2023-03-29T02:54:27+00:00,yes,Other
8023312,https://bloqueopreventivoseg.hartsepor.repl.co/,http://www.phishtank.com/phish_detail.php?phish_id=8023312,2023-02-02T00:25:18+00:00,yes,2023-02-02T00:51:37+00:00,yes,Other
8020081,https://online0.bisa01.repl.co/des/index.php,http://www.phishtank.com/phish_detail.php?phish_id=8020081,2023-01-30T01:12:14+00:00,yes,2023-01-30T01:23:00+00:00,yes,Other
8013992,https://tuyaexito.de/e/authID=sEcYl/login.php,http://www.phishtank.com/phish_detail.php?phish_id=8013992,2023-01-23T15:25:46+00:00,yes,2023-02-21T17:53:03+00:00,yes,Other
8026830,http://help-center459.crabdance.com/verify,http://www.phishtank.com/phish_detail.php?phish_id=8026830,2023-02-05T22:14:28+00:00,yes,2023-02-05T22:22:39+00:00,yes,Other
8053324,http://form-160.asssitance.S1N90VSBY0.n4b1l.email,http://www.phishtank.com/phish_detail.php?phish_id=8053324,2023-02-28T15:39:21+00:00,yes,2023-02-28T15:45:12+00:00,yes,Internal Revenue Service
8066485,https://attt46.godaddysites.com/,http://www.phishtank.com/phish_detail.php?phish_id=8066485,2023-03-08T18:47:17+00:00,yes,2023-03-08T18:55:04+00:00,yes,Other
8068069,https://www.taobtianmk.com/sanjin/client/index.php,http://www.phishtank.com/phish_detail.php?phish_id=8068069,2023-03-09T20:47:00+00:00,yes,2023-03-11T17:17:04+00:00,yes,Sumitomo Mitsui Banking Corporation
8126160,https://bafybeifggpqbnfwezliuuu56tp7gx76xvf27g7mifflkwdjkfxqlxkkov4.ipfs.dweb.link/?filename=loginwebmail.html#noc@protocol.ai,http://www.phishtank.com/phish_detail.php?phish_id=8126160,2023-04-23T14:18:20+00:00,yes,2023-04-23T18:07:43+00:00,yes,Other
8109041,https://recreationcafe-1316850103.cos.ap-bangkok.myqcloud.com/recreationcafe.html,http://www.phishtank.com/phish_detail.php?phish_id=8109041,2023-04-07T06:05:41+00:00,yes,2023-04-07T06:16:49+00:00,yes,Other
8121832,https://tracerxam.com/wp-includes/content/content.php,http://www.phishtank.com/phish_detail.php?phish_id=8121832,2023-04-19T14:36:41+00:00,yes,2023-04-19T15:20:18+00:00,yes,Other
8014880,https://pancaekswap.github.io/,http://www.phishtank.com/phish_detail.php?phish_id=8014880,2023-01-24T09:31:05+00:00,yes,2023-01-24T09:42:06+00:00,yes,Other
