Domain,Have_IP,Have_At,URL_Length,URL_Depth,Redirection,https_Domain,TinyURL,Prefix/Suffix,Label
wmmayhem.com,0,0,0,0,0,0,0,0,0
ballymenaunitedyouthacademy.com,0,0,0,0,0,0,0,0,0
brusselsgaybars.com,0,0,0,0,0,0,0,0,0
sportsbettingtennis.net,0,0,0,0,0,0,0,0,0
i29.mobi,0,0,0,0,0,0,0,0,0
billnelson.senate.gov,0,0,0,0,0,0,0,0,0
weather.noaa.gov,0,0,0,2,0,0,0,0,0
eagleeyesunglasses.org,0,0,0,0,0,0,0,0,0
redhawkfly.net,0,0,0,0,0,0,0,0,0
ultimatesportsstore.com,0,0,1,4,0,0,0,0,0
qaa.qc.ca,0,0,0,1,0,0,0,0,0
navarrebeachregencycondo.com,0,0,0,0,0,0,0,0,0
abc-design-studios.com,0,0,0,0,0,0,0,1,0
brianmacdonaldmusic.com,0,0,0,0,0,0,0,0,0
68.12.132.110:8080,0,0,1,3,0,0,0,0,0
uclabpa.com,0,0,0,1,0,0,0,0,0
summer-auto.bestgetaways.ca,0,0,1,2,0,0,0,1,0
walshfamilybantrybay.com,0,0,1,1,0,0,0,0,0
seafoodrestaurantshuntingtonbeach.com,0,0,0,0,0,0,0,0,0
mrlancegross.com,0,0,0,0,0,0,0,0,0
kcvilla.com,0,0,0,0,0,0,0,0,0
giggsrapper.com,0,0,0,0,0,0,0,0,0
judgeemerson2010.com,0,0,0,0,0,0,0,0,0
vfw8703.org,0,0,0,0,0,0,0,0,0
london.usembassy.gov,0,0,0,0,0,0,0,0,0
standardwarriorband.com,0,0,0,1,0,0,0,0,0
ice.cumberlandminorhockey.ca,0,0,1,1,0,0,0,0,0
dbpedia.openlinksw.com:8890,0,0,1,2,0,0,0,0,0
desautels-events.mcgill.ca,0,0,0,2,0,0,0,1,0
bollywoodbreak.info,0,0,1,1,0,0,0,0,0
mindperceptionconference.com,0,0,0,0,0,0,0,0,0
terrebonnerestaurants.info,0,0,0,0,0,0,0,0,0
theologicalstatic.org,0,0,0,0,0,0,0,0,0
slam.canoe.ca,0,0,1,4,0,0,0,0,0
1tiger-shark.com,0,0,1,1,0,0,0,1,0
maggiewilliamsanimation.com,0,0,0,0,0,0,0,0,0
jam.canoe.ca,0,0,1,5,0,0,0,0,0
taraharriers.ie,0,0,0,0,0,0,0,0,0
bad-mc.com,0,0,0,0,0,0,0,1,0
quickfacts.census.gov,0,0,1,4,0,0,0,0,0
library.kiwix.org:4201,0,0,0,2,0,0,0,0,0
winniethepussy.com,0,0,0,2,0,0,0,0,0
ras-i-production.com,0,0,0,0,0,0,0,1,0
lik5.xuex.bddns.org,0,0,0,0,0,0,0,0,0
thefinger.forsleepwalkers.com,0,0,0,0,0,0,0,0,0
usanationals.net,0,0,0,0,0,0,0,0,0
timstokesconstruction.com,0,0,0,0,0,0,0,0,0
beninrepatriation.com,0,0,0,0,0,0,0,0,0
stjosephsdedcollege.com,0,0,0,0,0,0,0,0,0
rachelmelvinonline.com,0,0,0,0,0,0,0,0,0
urdb.kirlad.com,0,0,0,1,0,0,0,0,0
danilevski.org,0,0,0,1,0,0,0,0,0
tinkerstory.com,0,0,0,0,0,0,0,0,0
oaklandparklocksmith.com,0,0,0,0,0,0,0,0,0
sabahfm.com,0,0,0,0,0,0,0,0,0
abidjan.usembassy.gov,0,0,0,0,0,0,0,0,0
laffsexpress.com,0,0,1,2,0,0,0,0,0
dogearproblems.org,0,0,0,0,0,0,0,0,0
themilitariacollectibles.info,0,0,1,0,0,0,0,0,0
beststartrekcostumes.com,0,0,0,0,0,0,0,0,0
ajhlhockey.org,0,0,0,0,0,0,0,0,0
3107shelterbay.com,0,0,0,0,0,0,0,0,0
pauldavidgraphics.com,0,0,0,0,0,0,0,0,0
hyderabad.usconsulate.gov,0,0,0,0,0,0,0,0,0
watchonlinesoccer.com,0,0,1,1,0,0,0,0,0
martialartistcenter.com,0,0,0,0,0,0,0,0,0
mali-weather.com,0,0,0,0,0,0,0,1,0
pickenshighschoolsoccer.net,0,0,0,0,0,0,0,0,0
sandrapeterson.org,0,0,0,0,0,0,0,0,0
cheapseagulllargo1314inchoutdoor6.tk,0,0,1,1,0,0,0,0,0
sandpfutures.org,0,0,0,0,0,0,0,0,0
jeffott.net,0,0,0,1,0,0,0,0,0
elosangeleselectrician.com,0,0,0,0,0,0,0,0,0
cotonou.usembassy.gov,0,0,0,0,0,0,0,0,0
toronto.en.craigslist.ca,0,0,1,3,0,0,0,0,0
naked.actors.nu,0,0,0,1,0,0,0,0,0
cinemajoint.com,0,0,0,0,0,0,1,0,0
think-poland.com,0,0,0,0,0,0,0,1,0
waterforpeopledc.org,0,0,0,0,0,0,0,0,0
aspengoldkitchendesign.com,0,0,0,0,0,0,0,0,0
tembeclumber.com,0,0,0,0,0,0,0,0,0
slam.canoe.ca,0,0,1,7,0,0,0,0,0
vietnamwarmusicguide.com,0,0,0,0,0,0,0,0,0
pointersisterstribute.com,0,0,0,1,0,0,0,0,0
high-harvest.com,0,0,0,0,0,0,1,1,0
desirestreetband.com,0,0,0,0,0,0,0,0,0
video.hmongclip.com,0,0,1,0,0,0,0,0,0
dixoncreekmore.com,0,0,0,1,0,0,0,0,0
patentattorneysearch.net,0,0,0,2,0,0,0,0,0
cbeedac.com,0,0,0,0,0,0,0,0,0
myyoungatheart.com,0,0,0,0,0,0,1,0,0
nortelpensioners.ca,0,0,0,0,0,0,0,0,0
akamaitv4pc.com,0,0,1,1,0,0,0,0,0
plainswindeis.anl.gov,0,0,0,0,0,0,0,0,0
specialphageservices.com.au,0,0,0,1,0,0,0,0,0
wblaunch.biz,0,0,0,0,0,0,0,0,0
morayphotography.com,0,0,0,0,0,0,0,0,0
rickcriswell.com,0,0,0,1,0,0,0,0,0
professionals.tv-series.com,0,0,0,0,0,0,0,1,0
hour.ca,0,0,1,4,0,0,0,0,0
pitikbaratha.com,0,0,1,5,0,0,0,0,0
studioparis.com.au,0,0,0,0,0,0,0,0,0
vissoft4.org,0,0,1,2,0,0,0,0,0
lyricultimate.com,0,0,0,1,0,0,0,0,0
missourilaserdentist.com,0,0,0,0,0,0,1,0,0
teledyski-nowosci.pl,0,0,0,1,0,0,0,1,0
wolf.house.gov,0,0,0,0,0,0,0,0,0
tycho.usno.navy.mil,0,0,0,1,0,0,0,0,0
republican.assembly.ca.gov,0,0,0,0,0,0,0,0,0
park-avenue-hotel.com,0,0,0,0,0,0,0,1,0
ralphbisschops.info,0,0,0,0,0,0,0,0,0
quickfacts.census.gov,0,0,1,3,0,0,0,0,0
tmi.me,0,0,0,1,0,0,0,0,0
snowcaptraffic.com,0,0,0,2,0,0,0,0,0
womens-clothing-manufacturer.com,0,0,1,1,0,0,0,1,0
royalmontrealgolfclub.info,0,0,0,0,0,0,0,0,0
my-cataract-eye-drops.com,0,0,0,0,0,0,0,1,0
herbgardeningbeginners.com,0,0,0,0,0,0,0,0,0
1uplawnservices.com,0,0,0,0,0,0,0,0,0
