URLs,Label,domain_names
http://www.sports.espn.go.com/nfl/news/story?id=4908848,Benign,sports.espn.go.com
http://www.johncmcginleynews.blogspot.com/,Benign,johncmcginleynews.blogspot.com
http://www.rivals.yahoo.com/ncaa/basketball/news?slug=tournamentbids,Benign,rivals.yahoo.com
http://www.aseviajes.com/category/liz-sherman,Benign,aseviajes.com
http://www.petelacock.ytmnd.com/,Benign,petelacock.ytmnd.com
http://www.lazylegz.com/bio/,Benign,lazylegz.com
http://www.twitter.com/CFORTIN,Benign,twitter.com
http://www.en.wikipedia.org/wiki/Chaos_Theory_(Hanging_Garden_album),Benign,en.wikipedia.org
http://www.virginislandsdailynews.com/news/psc-approves-creditor-s-bid-for-innovative-1.765957,Benign,virginislandsdailynews.com
http://www.thefourohfive.com/news/article/interview-efrim-menuck-of-a-silver-mt-zion,Benign,thefourohfive.com
http://www.foodjamaica.net/2008/04/17/jamaican-rum-punch/,Benign,foodjamaica.net
http://www.people.famouswhy.com/shawn_batten/,Benign,people.famouswhy.com
http://www.local.yahoo.com/info-21427524-pacwest-telecomm-incorporated-fairfield,Benign,local.yahoo.com
http://www.news.yahoo.com/profit-astral-media-shares-down-163619965.html,Benign,news.yahoo.com
http://www.tonycookactor.co.uk/,Benign,tonycookactor.co.uk
http://www.latimesblogs.latimes.com/sports_blog/2011/02/james-worthy-bob-knight-among-eight-named-to-national-collegiate-basketball-hall-of-fame.html,Benign,latimesblogs.latimes.com
http://www.deddieromero.freelife.com/,Benign,deddieromero.freelife.com
http://www.levota.com/-.html,Benign,levota.com
http://www.politicalgraveyard.com/bio/woods.html,Benign,politicalgraveyard.com
http://www.content.usatoday.com/topics/topic/People/Athletes/NHL/Roberto+Luongo,Benign,content.usatoday.com
http://www.stuffaboutnames.com/lisa/writers.htm,Benign,stuffaboutnames.com
http://www.wingchunmac.com/training/,Benign,wingchunmac.com
http://www.people.famouswhy.com/pauline_smadja/,Benign,people.famouswhy.com
http://www.theehl.blogspot.com/2010_05_01_archive.html,Benign,theehl.blogspot.com
http://www.spiderbites.nytimes.com/filmography/j/00022.html,Benign,spiderbites.nytimes.com
http://www.brainconnection.positscience.com/topics/?main=fa/selye,Benign,brainconnection.positscience.com
http://www.archiver.rootsweb.ancestry.com/th/read/BP2000/2006-08/1155620871,Benign,archiver.rootsweb.ancestry.com
