Domain,Have_IP,Have_At,URL_Length,URL_Depth,Redirection,https_Domain,TinyURL,Prefix/Suffix,Label
docs.google.com,0,0,1,5,0,0,0,0,1
cajaitrujilllo.com,0,0,0,1,0,0,0,0,1
yxbho6gf0p.yennefer6664.pl,0,0,0,0,0,0,0,0,1
bafybeieykrmvpnwd7ifrl4qjnxeaxfbic4vrv767gz74oj5wpucvdngdkm.ipfs.dweb.link,0,1,1,1,0,0,0,0,1
caloundrawoodworkingclub.com.au,0,0,1,5,0,0,0,0,1
cooperadosicredi.com,0,0,0,0,0,0,0,0,1
residencebidreams.it,0,0,0,2,0,0,0,0,1
anmelden5telkom.de,0,0,0,1,0,0,0,0,1
pancakeswap.trading,0,0,0,0,0,0,0,0,1
connection-orangebank-certicode.derlma.com,0,0,1,1,0,0,0,1,1
goto-kotayamatoo.co.admin.zgxxzy.com.cn,0,0,1,1,0,0,0,1,1
bloqueopreventivoseg.hartsepor.repl.co,0,0,0,0,0,0,0,0,1
online0.bisa01.repl.co,0,0,0,2,0,0,0,0,1
tuyaexito.de,0,0,0,3,0,0,0,0,1
help-center459.crabdance.com,0,0,0,1,0,0,0,1,1
form-160.asssitance.S1N90VSBY0.n4b1l.email,0,0,0,0,0,0,0,1,1
attt46.godaddysites.com,0,0,0,0,0,0,0,0,1
taobtianmk.com,0,0,0,3,0,0,0,0,1
bafybeifggpqbnfwezliuuu56tp7gx76xvf27g7mifflkwdjkfxqlxkkov4.ipfs.dweb.link,0,1,1,0,0,0,0,0,1
recreationcafe-1316850103.cos.ap-bangkok.myqcloud.com,0,0,1,1,0,0,0,1,1
tracerxam.com,0,0,0,3,0,0,0,0,1
pancaekswap.github.io,0,0,0,0,0,0,0,0,1
iconnect-srvceweb-com.203-161-53-48.cprapid.com,0,0,1,1,0,0,0,1,1
chicagogaitmotion.com,0,0,1,2,0,0,0,0,1
nftstorage.link,0,0,1,3,0,0,0,0,1
io-opensea.net,0,0,0,0,0,0,0,1,1
wvwempresa.com,0,0,1,0,0,0,0,0,1
wallieget.com,0,0,1,3,0,0,1,0,1
bufizf163.com,0,0,0,2,0,0,0,0,1
ipfs.io,0,0,1,2,0,0,0,0,1
maradomessiano.firebaseapp.com,0,0,0,0,0,0,0,0,1
ipfs.best-practice.se,0,0,1,2,0,0,0,1,1
file-share-from-lindsey-folder-view.firebaseapp.com,0,0,1,0,0,0,0,1,1
fa933fe3-b7b2-4d3e-8ba5-aac812a4405f.id.repl.co,0,0,1,0,0,0,0,1,1
gateway.ipfs.io,0,0,1,3,0,0,0,0,1
hopefulcharmingblock.nothingxor.repl.co,0,0,0,0,0,0,0,0,1
mebis.vuxytoxu.workers.dev,0,0,0,1,0,0,0,0,1
saisoncard.co.jp.hicayt.top,0,0,0,2,0,0,0,0,1
famipay.famldlgli.tianqi168.cn,0,0,0,0,0,0,0,0,1
uniswap.lv,0,0,0,0,0,0,0,0,1
themehakbhutani.com,0,0,0,1,0,0,0,0,1
fashmark.com,0,1,0,1,0,0,0,0,1
marcosautoeletrica.com.br,0,0,1,3,0,0,0,0,1
help-center228.crabdance.com,0,0,0,1,0,0,0,1,1
cloudflare-ipfs.com,0,0,1,2,0,0,0,1,1
faithfulsmoggycertifications--posisipo.repl.co,0,0,1,0,0,0,0,1,1
boxofthings.com,0,0,0,0,0,0,0,0,1
40892e84-8854-449b-a853-ba145d1a4238.id.repl.co,0,0,1,0,0,0,0,1,1
0523c54e-0a9d-4183-8e19-281afdaffa0d.id.repl.co,0,0,1,0,0,0,0,1,1
sandalychacosklep.com,0,0,0,0,0,0,0,0,1
accessocredem.online,0,0,0,0,0,0,0,0,1
account-cliente-info.162-0-237-145.cprapid.com,0,0,1,0,0,0,0,1,1
bafybeiafxdm5vr62p7xbfs2yivhsfkd5ruztk5ctuhpmpspjomxxp7xybq.ipfs.infura-ipfs.io,0,0,1,0,0,0,0,1,1
16-0-2-0-935ug93hg-fhwnr-fn3508gh30-rhf8r.obs.ap-southeast-1.myhuaweicloud.com,0,0,1,1,0,0,0,1,1
justyoubeautysalon.com.au,0,0,0,1,0,0,0,0,1
xpjbetus.com,0,0,0,3,0,0,0,0,1
w.nftservers.repl.co,0,0,0,0,0,0,0,0,1
pub-0eeaa1c9474148f8a3f1e9899e1dbf37.r2.dev,0,0,1,1,0,0,0,1,1
kvlxjn.webwave.dev,0,0,0,0,0,0,0,0,1
urlaptops.ru,0,1,0,1,0,0,0,0,1
neatmonstroususer.userinname.repl.co,0,0,0,0,0,0,0,0,1
cf-ipfs.com,0,0,1,2,0,0,0,1,1
ipfs.io,0,0,1,3,0,0,0,0,1
centralqueenslandweddings.com.au,0,1,1,7,0,0,0,0,1
storageapi.fleek.co,0,0,1,3,0,0,0,0,1
kfw-isfp-01.com,0,0,0,0,0,0,0,1,1
bafybeiemqsvuqdls7fxgqwqirwcdolvyhz5uq62kiw5uejp3yr2zuwtlfa.ipfs.dweb.link,0,0,1,0,0,0,0,0,1
facebook-help-20024145785202.web.app,0,0,0,0,0,0,0,1,1
wordpress-105671-0.cloudclusters.net,0,0,0,2,0,0,0,1,1
momeyklt.org,0,0,0,0,0,0,0,0,1
docs.google.com,0,0,1,5,0,0,0,0,1
tracktrace-packagenumber.com,0,0,1,3,0,0,0,1,1
hvwlsmnbvu.duckdns.org,0,0,0,0,0,0,0,0,1
goonlliine-bbnppraillbass.top,0,0,0,0,0,0,0,1,1
arweave.net,0,1,1,1,0,0,0,0,1
credem.firmagomezrubio.com,0,0,0,0,0,0,0,0,1
89875875mnk--inter387ddbnk.repl.co,0,0,0,0,0,0,0,1,1
rectangularstandardrorutes--emnnmineet.repl.co,0,0,1,0,0,0,0,1,1
burr2.flazio.com,0,0,0,0,0,0,0,0,1
internetshopown.com,0,0,0,1,0,0,0,0,1
helpid97855723849185962813.web.app,0,0,0,0,0,0,0,0,1
taplink.cc,0,0,0,1,0,0,0,0,1
15-03-veh609-g93hw-fgi8bwe-pfbw-r89gfd.obs.ap-southeast-3.myhuaweicloud.com,0,0,1,1,0,0,0,1,1
arnozcansigin.relbpwbakx.shop,0,0,1,1,0,0,0,0,1
solucionesambientales.mx,0,0,0,1,0,0,0,0,1
btinternet-108615.weeblysite.com,0,0,0,0,0,0,0,1,1
grupoficohsagfr.ficohashor.repl.co,0,0,0,0,0,0,0,0,1
linklist.bio,0,0,1,1,0,0,0,0,1
ycrfqrcmej.duckdns.org,0,0,0,0,0,0,0,0,1
dev-portal-exitotuya.pantheonsite.io,0,0,0,0,0,0,0,1,1
foodrisk.eu,0,0,1,6,0,0,0,0,1
magazineluiza.life,0,0,0,3,0,0,0,0,1
newserviceupgrade.godaddysites.com,0,0,0,0,0,0,0,0,1
connectenligne.derlma.com,0,1,1,6,0,0,0,0,1
emfio7xjs0.dariuszkafel.pl,0,1,1,2,0,0,0,0,1
tunahrtjanzak11.web.app,0,0,0,0,0,0,0,0,1
websecureoutlook.glitch.me,0,0,0,1,0,0,0,0,1
my.bdoexpressupdate.com,0,0,0,0,0,0,0,0,1
e-tiempoparcial9.com,0,0,0,1,0,0,0,1,1
mnd.mndnsw.asn.au,0,0,1,4,0,0,0,0,1
